MONTH,DAY,YEAR,PERIOD,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,CLRA,MOSS,CRETE,H_AMPS,H_FAB,AMPS,BROMUS,H_LESPEDEZA,LESPEDEZA,L_ASTER,F_ASTER,D_ASTER,ASTER_21,COLA,CONYZA,COTYLEDON,GRASS2,ARIST,DIAC,DITE,DOCK,PANO,POPR,PIGR,PRSE,CLMA,CROPT,CROTON,CHRYOP,SOLID,ANDRO,DICHANTH,ACGR,AGAC,AGALINIS,ASTER2,BLACKBERRY,BLACKGUM,BLUE,CARA,CAREX,CHFA,CHLA,CRGL,CYPERACEAE,DESMODIUM,DEWBERRY,ELTO,ERIG,EUHY,FAB1,FABVine,FABACEAE,FALLOPIA,FERN_WING,FERNlike,GAOF,GAY,GERANIUM,GNAPU,HYGE,JUNCUS,KRVI,LECU,LEHI,LIATRIS,LINAR,LOJA,LOPE,MIMOSA,NUTE,OAK,OPUNT,OXALIS,PARONCHYIA,PARTH,PANIC,PERF,PINE,PLANTAG,POGRA,POSI,POCI,QUERCUS,RED_MIDVEIN,RHTY,RHUS,RHYN,RUBIACEAE,RUBUS,SASS,SENNA,SISYR,SMILAX,SMBO,SMRO,STBI,SYMPH,TOOTH,TORA2,TRADE,TRPE4,UNK_1,UNK_2,WWAC,WIREWEED,HEDR,LACTUCA2,LACTUCA,VACCINIUM
,,2020,PRE,1,37,1,CC,CAGED,CARRION,0%,,,,,,,,,,,,,,,,,,6,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,2020,PRE,1,37,2,OP,OPEN,PROPAGULE,0%,,,,,,,,,,,,,,,,,,4,0,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,2020,PRE,1,37,3,OS,OPEN,SCAT,0%,,,,,,,,,,,,,,,,,,35,7,,4,,2,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
,,2020,PRE,1,37,4,OC,OPEN,CARRION,0%,,,,,,,,,,,,,,,,,,3,,,,,6,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,2020,PRE,1,37,5,CS,CAGED,SCAT,15%,,,,,,,,,,,,,,,,,,10,,,2,,7,,,,,7,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,37,6,CP,CAGED,PROPAGULE,0%,,,,,,,,,,,,,,,,,,9,,,2,,4,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,37,7,REF,NONE,NONE,0%,,,,,,,,,,,,,,,,,,3,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,11,1,OP,OPEN,PROPAGULE,25%,,,,,,,,,,,,,,,,,,10,,,1,2,,,,,1,,1,2,,,,,,1,,,,3,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,1,11,2,CP,CAGED,PROPAGULE,20%,,,,,,,,,,,,,,,,,,21,,,,,,,,,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,2020,PRE,1,11,3,OS,OPEN,SCAT,15%,10%,,,,,,,,,,,,,,,,,10,,,,9,1,,,,,10,6,,1,1,,,,3,,2,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
