YEAR,MONTH,DAY,DATE,BLOCK,PLOT,TREATMENT,SPECIES,STEMS,STEMS (HIGH),COVER,NOTES
2022,4,18,4/18/21,37,1,CC,NUCA,8,,,
2022,4,18,4/18/21,37,1,CC,SMBO,1,,,
2022,4,18,4/18/21,37,1,CC,GAPE,1,,,
2022,4,18,4/18/21,37,1,CC,OPAX,1,,,
2022,4,18,4/18/21,37,1,CC,FUZZY,10,,,
2022,4,18,4/18/21,37,1,CC,BASAL_UNK,1,,,
2022,4,18,4/18/21,37,1,CC,GRASS,47,,,PASP
2022,4,18,4/18/21,37,1,CC,DICO,3,,,
2022,4,18,4/18/21,37,2,OP,RUBUS,7,,,
2022,4,18,4/18/21,37,2,OP,PARON,2,,,
2022,4,18,4/18/21,37,2,OP,ERIG,6,,,
2022,4,18,4/18/21,37,2,OP,MINT,7,,,
2022,4,18,4/18/21,37,2,OP,VICIA,2,,,
2022,4,18,4/18/21,37,2,OP,PASP,17,,,
2022,4,18,4/18/21,37,2,OP,WIRE,3,,,
2022,4,18,4/18/21,37,3,OS,PIGR,7,,,
2022,4,18,4/18/21,37,3,OS,ANDRO,2,,,
2022,4,18,4/18/21,37,3,OS,BIG,2,,,
2022,4,18,4/18/21,37,3,OS,ERIG,2,,,
2022,4,18,4/18/21,37,3,OS,RUMEX,2,,,
2022,4,18,4/18/21,37,3,OS,PINE,1,,,
2022,4,18,4/18/21,37,3,OS,ASTER2,25,,,
2022,4,18,4/18/21,37,3,OS,WHORL,1,,,
2022,4,18,4/18/21,37,3,OS,CUD,3,,,
2022,4,18,4/18/21,37,3,OS,YELLOW EYE,2,,,
2022,4,18,4/18/21,37,3,OS,DICH,3,,,
2022,4,18,4/18/21,37,3,OS,YELLOW CLOVER,1,,,
2022,4,18,4/18/21,37,4,OC,PIGR,5,,,
2022,4,18,4/18/21,37,4,OC,CUD,2,,,
2022,4,18,4/18/21,37,4,OC,DICH,17,,,
2022,4,18,4/18/21,37,4,OC,PINE,2,,,
2022,4,18,4/18/21,37,4,OC,PASP,3,,,
2022,4,18,4/18/21,37,4,OC,ANDRO,2,,,
2022,4,18,4/18/21,37,4,OC,WHORL2,2,,,
2022,4,18,4/18/21,37,5,CS,PIGR,6,,,
2022,4,18,4/18/21,37,5,CS,DICH,8,,,
2022,4,18,4/18/21,37,5,CS,ASTER3,5,,,
2022,4,18,4/18/21,37,5,CS,MEAT,1,,,
2022,4,18,4/18/21,37,5,CS,YELLOW EYE,1,,,
2022,4,18,4/18/21,37,5,CS,ANDRO,3,,,
2022,4,18,4/18/21,37,5,CS,LES,1,,,
2022,4,18,4/18/21,37,REF,REF,ASTER3,6,,,
2022,4,18,4/18/21,37,REF,REF,ANDRO,29,,,
2022,4,18,4/18/21,37,REF,REF,YELLOW EYE,3,,,
2022,4,18,4/18/21,37,REF,REF,YELLOW CLOVER,2,,,
2022,4,18,4/18/21,37,REF,REF,RUBUS,13,,,
2022,4,18,4/18/21,37,REF,REF,OPAX,1,,,
2022,4,18,4/18/21,37,REF,REF,LES,6,,,
2022,4,18,4/18/21,37,REF,REF,NUCA,2,,,
2022,4,18,4/18/21,37,REF,REF,RHCO,1,,,
2022,4,18,4/18/21,37,REF,REF,FAT CUD,2,,,
2022,4,18,4/18/21,37,REF,REF,MIM,1,,,
2022,4,18,4/18/21,37,REF,REF,SEEDLING2,1,,,
2022,4,18,4/18/21,37,6,CP,PIGR,8,,,
2022,4,18,4/18/21,37,6,CP,DICH,10,,,
2022,4,18,4/18/21,37,6,CP,CUD,39,,,
2022,4,18,4/18/21,37,6,CP,ANDRO,1,,,
2022,4,18,4/18/21,37,6,CP,PASP,8,,,
2022,4,19,4/19/21,11,1,OP,ERIG,9,,,
2022,4,19,4/19/21,11,1,OP,PINE,2,,,
2022,4,19,4/19/21,11,1,OP,ASTER3,9,,,
2022,4,19,4/19/21,11,1,OP,DES/CLIT,1,,,
2022,4,19,4/19/21,11,1,OP,RUBUS,43,,,
2022,4,19,4/19/21,11,1,OP,DICH,8,,,
2022,4,19,4/19/21,11,1,OP,POVERTY GRASS,1,,,
2022,4,19,4/19/21,11,1,OP,BIG GRASS,1,,,
2022,4,19,4/19/21,11,1,OP,ANDRO,2,,,
2022,4,19,4/19/21,11,1,OP,CLRA,NA,,30,
2022,4,19,4/19/21,11,1,OP,RUST,1,22,,
2022,4,19,4/19/21,11,1,OP,MEATY,1,,,
2022,4,19,4/19/21,11,1,OP,CUD,6,,,
2022,4,19,4/19/21,11,1,OP,SEDGE,1,,,
2022,4,19,4/19/21,11,2,CP,PINE,1,,,
2022,4,19,4/19/21,11,2,CP,ASTER3,4,,,
2022,4,19,4/19/21,11,2,CP,LG ASTER,1,,,
2022,4,19,4/19/21,11,2,CP,DICH,16,,,
2022,4,19,4/19/21,11,2,CP,PIGR,5,,,
2022,4,19,4/19/21,11,2,CP,CUD,6,,,
2022,4,19,4/19/21,11,2,CP,ANDRO,8,,,
2022,4,19,4/19/21,11,2,CP,MEATY,1,,,
2022,4,19,4/19/21,11,2,CP,CLRA,NA,,40,
2022,4,19,4/19/21,11,2,CP,DES/CLIT,1,,,
2022,4,19,4/19/21,11,3,OS,ASTER3,15,,,
