MONTH,DAY,YEAR,PERIOD,LINE,BLOCK,OrigPlot,New plot,TREATMENT,EXCLUSION,ADDITION,PIG,POA,COTYLEDON,LOPE,AMPS,L_ASTER,CLRA,MOSS,ARIST,DIAC,DITE,PANO,POPR,PIGR,CROPT,CROTON,CROTON2,CHRYOP,SOLID,ANDRO,DICHANTH,NUTE,ACGR,AGAC,AGALINIS,ASTER2,BLACKBERRY,BLUE,CARA,CAREX,CHFA,CHLA,CIRSUIMlike,CRGL,DESMODIUM,DEWBERRY,ELTO,ERIG,EUHY,FAB1,FABVine,GNAPU,HYGE,JUNCUS,KRIGERA,LACTUCA2,LECU,LEHI,LIATRIS,LINAR,LOJA,OPUNT,OXALIS,PANIC,PINE,PINEWEED,PLANTAG,POGRA,POSI,QUERCUS,RHTY,RUBIACEAE,RUBUS,SISYR,SMILAX,SMBO,SMRO,STBI,SYMPH,TORA2,UNK_1,WIREWEED,WWAC
,,2020,PRE,3,13,A,1,CC,CAGED,CARRION,18,,,,,,,,,3,53,,,,,10,,,,6,,,,,,,,,,,1,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,3,,,13,,,,4,,1,
,,2020,PRE,3,13,B,2,CN,CAGED,NONE,NA,,,,,,,,5,,43,,,,,20,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,4
,,2020,PRE,3,13,1,3,CC,CAGED,CARRION,3,,,,,,,,4,10,36,3,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,2020,PRE,3,13,2,3,CN,CAGED,NONE,NA,,,,,,,,,18,30,,,11,,10,2,2,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
,,2020,PRE,3,13,3,4,CN,CAGED,NONE,NA,,,,,,,,,,,13,,,,,2,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,
,,2020,PRE,3,13,4,5,CC,CAGED,CARRION,1,,,,,,,,,9,8,7,,,3,3,,,2,,,,,,3,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,13,5,6,CC,CAGED,CARRION,12,,,,,,,,,13,8,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,PRE,3,13,6,7,CN,CAGED,NONE,NA,,,,,,,,3,15,20,,,,,16,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,9,,,,,,,,
,,2020,PRE,3,13,6,7,REF,NONE,NONE,NA,,,,,,,,,15,20,,,,,24,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
4,26,2021,POST,3,13,A,1,CC,CAGED,CARRION,18,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,1,,,20,,,,,7,,,
4,26,2021,POST,3,13,B,2,CN,CAGED,NONE,NA,20,81,,6,1,,,,7,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,
4,26,2021,POST,3,13,1,3,CC,CAGED,CARRION,3,5,54,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,2021,POST,3,13,2,3,CN,CAGED,NONE,NA,,24,,10,2,,,,6,,,,6,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,64,,,,,,,,
4,26,2021,POST,3,13,3,4,CN,CAGED,NONE,NA,,,17,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,5,,,,,,,,,,,,,,,,,,,25,,,,,,,,
4,26,2021,POST,3,13,4,5,CC,CAGED,CARRION,1,13,9,,,,,,,1,,,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
4,26,2021,POST,3,13,5,6,CC,CAGED,CARRION,12,,14,,1,,,,,7,,,,,,,,,,,,21,,,,,,,,,,,,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,2021,POST,3,13,6,7,CN,CAGED,NONE,NA,,65,,7,,,,,14,,,2,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,
4,26,2021,POST,3,13,6,7,REF,NONE,NONE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
