DATE,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,TRANSECT,DISTANCE,CELLS,DISTURBANCE
12/7/20,1,37,1,CC,CAGED,CARRION,CENTER,0,16,100
12/7/20,1,37,1,CC,CAGED,CARRION,NORTH,1,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,NORTH,2,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,NORTH,3,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,EAST,1,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,EAST,2,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,EAST,3,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,WEST,1,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,WEST,2,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,WEST,3,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,SOUTH,1,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,SOUTH,2,0,0
12/7/20,1,37,1,CC,CAGED,CARRION,SOUTH,3,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,CENTER,0,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,NORTH,1,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,NORTH,2,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,NORTH,3,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,EAST,1,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,EAST,2,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,EAST,3,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,WEST,1,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,WEST,2,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,WEST,3,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,SOUTH,1,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,SOUTH,2,0,0
12/7/20,1,37,2,OP,OPEN,PROPAGULE,SOUTH,3,0,0
12/7/20,1,37,2,OS,OPEN,SCAT,CENTER,0,6,37.5
12/7/20,1,37,3,OS,OPEN,SCAT,NORTH,1,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,NORTH,2,3,18.75
12/7/20,1,37,3,OS,OPEN,SCAT,NORTH,3,1,6.25
12/7/20,1,37,3,OS,OPEN,SCAT,EAST,1,3,18.75
12/7/20,1,37,3,OS,OPEN,SCAT,EAST,2,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,EAST,3,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,WEST,1,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,WEST,2,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,WEST,3,1,6.25
12/7/20,1,37,3,OS,OPEN,SCAT,SOUTH,1,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,SOUTH,2,0,0
12/7/20,1,37,3,OS,OPEN,SCAT,SOUTH,3,0,0
12/7/20,1,37,4,OC,OPEN,CARRION,CENTER,0,15,93.75
12/7/20,1,37,4,OC,OPEN,CARRION,NORTH,1,13,81.25
12/7/20,1,37,4,OC,OPEN,CARRION,NORTH,2,0,0
12/7/20,1,37,4,OC,OPEN,CARRION,NORTH,3,1,6.25
12/7/20,1,37,4,OC,OPEN,CARRION,EAST,1,12,75
12/7/20,1,37,4,OC,OPEN,CARRION,EAST,2,0,0
12/7/20,1,37,4,OC,OPEN,CARRION,EAST,3,5,31.25
12/7/20,1,37,4,OC,OPEN,CARRION,WEST,1,12,75
12/7/20,1,37,4,OC,OPEN,CARRION,WEST,2,9,56.25
12/7/20,1,37,4,OC,OPEN,CARRION,WEST,3,6,37.5
12/7/20,1,37,4,OC,OPEN,CARRION,SOUTH,1,14,87.5
12/7/20,1,37,4,OC,OPEN,CARRION,SOUTH,2,4,25
12/7/20,1,37,4,OC,OPEN,CARRION,SOUTH,3,3,18.75
12/7/20,1,37,5,CS,CAGED,SCAT,CENTER,0,3,18.75
12/7/20,1,37,5,CS,CAGED,SCAT,NORTH,1,2,12.5
12/7/20,1,37,5,CS,CAGED,SCAT,NORTH,2,1,6.25
12/7/20,1,37,5,CS,CAGED,SCAT,NORTH,3,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,EAST,1,2,12.5
12/7/20,1,37,5,CS,CAGED,SCAT,EAST,2,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,EAST,3,1,6.25
12/7/20,1,37,5,CS,CAGED,SCAT,WEST,1,4,25
12/7/20,1,37,5,CS,CAGED,SCAT,WEST,2,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,WEST,3,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,SOUTH,1,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,SOUTH,2,0,0
12/7/20,1,37,5,CS,CAGED,SCAT,SOUTH,3,0,0
12/7/20,1,37,0,REF,NONE,NONE,CENTER,0,0,0
12/7/20,1,37,0,REF,NONE,NONE,NORTH,1,0,0
12/7/20,1,37,0,REF,NONE,NONE,NORTH,2,0,0
12/7/20,1,37,0,REF,NONE,NONE,NORTH,3,0,0
12/7/20,1,37,0,REF,NONE,NONE,EAST,1,0,0
12/7/20,1,37,0,REF,NONE,NONE,EAST,2,0,0
12/7/20,1,37,0,REF,NONE,NONE,EAST,3,2,12.5
12/7/20,1,37,0,REF,NONE,NONE,WEST,1,0,0
